"Название события","Комментарий к событию","Количество клиентских событий","Количество клиентских событий","Количество устройств, достигших клиентского события","Количество устройств, достигших клиентского события","Событий на устройство","Процент устройств, достигших клиентского события"
"Purchase_Flat_To_Step_Coverage","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Flat_To_Step_Period","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_House_Buildtype_Open","Не определено","4","0.0034100596760443308","2","0.2222222222222222","0.26666666666666666","0.13333333333333333"
"Purchase_House_Map_Open","Не определено","4","0.0034100596760443308","2","0.2222222222222222","0.26666666666666666","0.13333333333333333"
"Purchase_House_Start","Не определено","4","0.0034100596760443308","2","0.2222222222222222","0.26666666666666666","0.13333333333333333"
"Purchase_House_To_Step_Address","Не определено","4","0.0034100596760443308","2","0.2222222222222222","0.26666666666666666","0.13333333333333333"
"Purchase_House_To_Step_Buildingtype","Не определено","4","0.0034100596760443308","2","0.2222222222222222","0.26666666666666666","0.13333333333333333"
"Purchase_House_To_Step_Yourdata","Не определено","4","0.0034100596760443308","2","0.2222222222222222","0.26666666666666666","0.13333333333333333"
"Purchase_House_Yourdata_Open","Не определено","4","0.0034100596760443308","2","0.2222222222222222","0.26666666666666666","0.13333333333333333"
"Purchase_Mite_Confirm_Open","Не определено","4","0.0034100596760443308","2","0.2222222222222222","0.26666666666666666","0.13333333333333333"
"Purchase_Mite_Start","Не определено","4","0.0034100596760443308","2","0.2222222222222222","0.26666666666666666","0.13333333333333333"
"Purchase_Mite_Start_Open","Не определено","4","0.0034100596760443308","2","0.2222222222222222","0.26666666666666666","0.13333333333333333"
"Purchase_Mite_To_Step_Confirm","Не определено","4","0.0034100596760443308","2","0.2222222222222222","0.26666666666666666","0.13333333333333333"
"Purchase_Pet_Addrisk_Open","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Pet_Confirm_Open","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Pet_Docs_Open","Не определено","4","0.0034100596760443308","2","0.2222222222222222","0.26666666666666666","0.13333333333333333"
"Purchase_Pet_Period_Open","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Pet_PetType_Open","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Pet_Risk_Open","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Pet_Start","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Pet_Start_Open","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Pet_To_Step_AddRisk","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Pet_To_Step_Confirm","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Pet_To_Step_Docs","Не определено","4","0.0034100596760443308","2","0.2222222222222222","0.26666666666666666","0.13333333333333333"
"Purchase_Pet_To_Step_Period","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Pet_To_Step_PetType","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Pet_To_Step_Risk","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Pet_Yourdata_Open","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Sport_Docs_Open","Не определено","4","0.0034100596760443308","2","0.2222222222222222","0.26666666666666666","0.13333333333333333"
"Purchase_Sport_To_Step_Docs","Не определено","4","0.0034100596760443308","2","0.2222222222222222","0.26666666666666666","0.13333333333333333"
"Auth_User_Agreement_Accept","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Consent_to_push","Не определено","3","0.0025575447570332483","3","0.33333333333333337","0.2","0.2"
"PlantTypes","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Preparing_for_push_consent","Не определено","3","0.0025575447570332483","3","0.33333333333333337","0.2","0.2"
"Profile_Personal_data","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Flat_Docs_Open","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Flat_Pay_Open","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Flat_Payment_Success","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Flat_To_Step_Docs","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Flat_To_Step_Pay","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_House_Confirm_Open","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_House_Period_Open","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_House_To_Step_Confirm","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_House_To_Step_Period","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Mite_Data_Open","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Mite_Docs_Open","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Mite_Itsme","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Mite_Me_Tap","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Mite_Pay_Open","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Mite_Payment_Success","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Mite_Price_Open","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Mite_To_Step_Data","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Mite_To_Step_Docs","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Mite_To_Step_Pay","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Mite_To_Step_Price","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Mite_To_Step_YourData","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Mite_Yourdata_Open","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Pet_Pay_Open","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Pet_Payment_Success","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Pet_To_Step_Pay","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Sport_Itsme","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Sport_Me_Tap","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Sport_Pay_Open","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Purchase_Sport_To_Step_Pay","Не определено","3","0.0025575447570332483","2","0.2222222222222222","0.2","0.13333333333333333"
"Article","Не определено","2","0.0017050298380221654","2","0.2222222222222222","0.13333333333333333","0.13333333333333333"
"Profile_Email","Не определено","2","0.0017050298380221654","2","0.2222222222222222","0.13333333333333333","0.13333333333333333"
"Purchase_House_Address_Open","Не определено","2","0.0017050298380221654","1","0.1111111111111111","0.13333333333333333","0.06666666666666667"
"Purchase_House_Docs_Open","Не определено","2","0.0017050298380221654","2","0.2222222222222222","0.13333333333333333","0.13333333333333333"
"Purchase_House_Pay_Open","Не определено","2","0.0017050298380221654","2","0.2222222222222222","0.13333333333333333","0.13333333333333333"
"Purchase_House_Payment_Success","Не определено","2","0.0017050298380221654","2","0.2222222222222222","0.13333333333333333","0.13333333333333333"
"Purchase_House_To_Step_Docs","Не определено","2","0.0017050298380221654","2","0.2222222222222222","0.13333333333333333","0.13333333333333333"
"Purchase_House_To_Step_Pay","Не определено","2","0.0017050298380221654","2","0.2222222222222222","0.13333333333333333","0.13333333333333333"
"Purchase_Sport_Payment_Success","Не определено","2","0.0017050298380221654","2","0.2222222222222222","0.13333333333333333","0.13333333333333333"
"Auth_Enter_otp_fail","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Auth_First_Launch","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Auth_User_Agreement","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Manage_Stop_Confirm_Cancel_Sub","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Profile_Biometrics","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Profile_Payment_method","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Profile_Phone_number","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_Calculate_Accident","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_Flat_Payment_Decline","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_IFL_Payment_Decline","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_NS_Addrisk_Open","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_NS_Count_Open","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_NS_Cover_Open","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_NS_Data_Open","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_NS_Period_Open","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_NS_Risk_Open","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_NS_Start","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_NS_Start_Open","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_NS_To_Step_AddRisk","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_NS_To_Step_Count","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_NS_To_Step_Coverage","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_NS_To_Step_Period","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_NS_To_Step_Risk","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_NS_To_Step_YourData","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_NS_Yourdata_Open","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_Pet_Payment_Decline","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_Start_Accident","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_To_Step_2_Accident","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_To_Step_3_Accident","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_To_Step_4_Accident","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_To_Step_5_Accident","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Purchase_To_Step_6_Accident","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"Signup_start_YAID","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"VetHelp","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
"VetHelp_Video","Не определено","1","8.525149190110827E-4","1","0.1111111111111111","0.06666666666666667","0.06666666666666667"
